Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Patrick Mahomes,34.9,17.3,17.08,23.36,30.48,19.62,26.92,0,34.14,31.14,27.46,18.4,19.82,19.78,32.74,23.76,25.52,402.42,QB,41
Josh Allen,31.48,29.68,26.7,23.52,35.16,26.36,0,17.62,24.8,19.6,12.58,29.92,16.92,20.58,35.86,22.98,0,373.76,QB,26
Jalen Hurts,24.72,33.02,27.6,15.96,27.66,16.9,0,28.4,20.02,21.8,24.2,29.82,34.4,30.38,34.7,0,0,369.58,QB,73
Joe Burrow,18.22,16.56,23,20.08,17.28,32.5,39.24,13.48,19.14,0,26.7,18,30.04,16.56,24.8,23.5,0,339.1,QB,64
Justin Fields,13.64,8.8,4.94,10.16,17.02,18.4,23.36,26.04,42.72,39.38,22.62,0,19.26,0,23.58,9.86,16.2,295.98,QB,122
Geno Smith,17.2,6.08,18.9,31.7,24.02,12.68,13.1,19.08,20.8,19.2,0,19.32,22.98,20.56,15.32,12.2,17.12,290.26,QB,276
Daniel Jones,16.02,13.14,13.74,21.64,12.38,13.52,28.78,9.04,0,18.28,24.64,14.52,17.1,19.36,9.9,20.76,36.18,289,QB,307
Trevor Lawrence,13.4,18.5,25.18,5.66,10.34,24.9,18.7,6.82,16.7,20.96,0,24.94,16.36,33.42,26.82,18.26,4.48,285.44,QB,133
Kirk Cousins,19.08,8.84,18.3,12.92,22.24,16.5,0,23.48,16.4,15.48,2.2,21.86,11.82,25,32.4,24.16,7.9,278.58,QB,112
Jared Goff,15.5,26.04,13.88,33.22,5.86,0,1.52,18.64,11.38,14.84,6.5,17.6,21.6,26.1,14.08,25.7,22.4,274.86,QB,241
Tom Brady,10.38,9.4,14.74,25.4,19.74,13.72,11.7,17.1,15.2,16.02,0,18.04,17.14,10.12,16.58,11.34,37.68,264.3,QB,90
Justin Herbert,23.26,23.46,12.58,21.1,14.42,8.42,18.12,0,12.1,12.04,19.7,28.76,18.1,19.48,8.72,5.5,16.68,262.44,QB,43
Lamar Jackson,20.22,42.62,39.42,13.06,14.76,16.1,10.7,21.82,17.52,0,15.46,23.06,1.34,0,0,0,0,236.08,QB,53
Tua Tagovailoa,14.8,38.86,11.44,2.4,0,0,15.94,29.18,24.08,23.4,0,15.96,13.8,12.6,18.06,10.4,0,230.92,QB,125
Aaron Rodgers,3.7,16.36,16.1,16.14,16.88,11.84,15.76,15.22,13.64,19.36,19.08,9.5,13.68,0,10.86,13.32,16.56,228,QB,104
Derek Carr,13.8,18.98,19.82,11.52,17.94,0,13.54,1.94,18.36,17.92,20.28,20.8,16,2.58,19.24,6.36,0,219.08,QB,114
Russell Wilson,17.8,11.06,9.06,27.48,9.16,13.82,0,13.78,0,14.24,10.68,8.48,9.66,25.58,0,8.26,23.58,202.64,QB,83
Kyler Murray,20.62,25.88,13.36,22.88,16.2,14.88,17.16,24.64,19,0,0,25.24,0,0.66,0,0,0,200.52,QB,68
Marcus Mariota,19.8,13.44,15.56,3.86,17.98,24.16,12.06,22.42,7.56,17.74,17.74,13.86,10.38,0,0,0,0,196.56,QB,297
Dak Prescott,4.46,0,0,0,0,0,12.28,25.4,0,19.2,20.64,14.84,16.8,13.66,20.24,27.98,14.38,189.88,QB,78
Jacoby Brissett,10.88,15.46,17.9,14.96,14.4,8.64,10.12,20.32,0,16.48,25.86,13.1,0,0,0.3,0,0.2,168.62,QB,288
Ryan Tannehill,19.34,0.88,18.76,14.38,11.54,0,3.88,0,0,19.4,19.02,16.54,13.04,17.76,10.7,0,0,165.24,QB,141
Jimmy Garoppolo,0,16.66,8.44,13.86,18.02,16.94,16.32,17.7,0,15.9,25.42,13.28,2.24,0,0,0,0,164.78,QB,246
Andy Dalton,0,0,0,13.74,9.88,10.48,26.54,17.16,10.9,7.06,22.2,10.26,13.26,0,14.14,1.58,6,163.2,QB,349
Davis Mills,15.5,7.18,9.8,13.84,5.8,0,18.08,8.88,11.96,14.76,9.76,0,0,5.2,18.94,9.92,9.38,159,QB,181
Matt Ryan,15.28,1.8,15.28,17.84,6.14,27.16,9.92,0,0,22.68,8.62,10.16,9.12,0,11.28,0,0,155.28,QB,165
Mac Jones,8.52,12.68,15.94,0,0,0,0.92,11.66,9.68,0,10.14,23.28,12.5,7.3,7.48,17.5,16.26,153.86,QB,168
Kenny Pickett,0,0,0,12.3,12.08,8.28,10.28,7.34,0,19.06,16,12.16,13.28,1.6,0,12.66,10.92,135.96,QB,284
Baker Mayfield,18,13.3,10.7,5.88,6.6,0,0,0,14.2,0,5.04,0,0,14.2,6.54,17.4,4.08,115.94,QB,213
Carson Wentz,27.72,27.78,8.64,7.3,21.86,4.16,0,0,0,0,0,0,0,0,0,8.92,6.42,112.8,QB,219
Matthew Stafford,7.8,18.88,10.16,6.76,10.32,11.82,0,17.38,10.5,0,14.76,0,0,0,0,0,0,108.38,QB,93
Austin Ekeler,11.2,18.4,13.3,34.9,35.9,24.3,36.7,0,24.1,13.3,18,25,13.2,24.4,15,23.9,32.1,363.7,RB,2
Christian McCaffrey,15.7,16.8,13.5,25.8,23.4,22.8,8.2,40.26,0,17.7,17.6,8.9,28.6,29.3,25.8,13.8,31.3,339.46,RB,4
Josh Jacobs,8.3,9.1,14.7,34.5,30.3,0,36.5,7.4,11.7,22.6,19,48.3,21,19.4,13,6,19.5,321.3,RB,39
Derrick Henry,8.2,8.5,25.3,23.7,27.2,0,16.8,35.8,23.5,8.7,25.36,14.7,5.8,20.5,26.3,18.6,0,288.96,RB,6
Saquon Barkley,33.4,11.8,22.6,18.2,19.6,18.5,17.5,15.2,0,23,5.5,15.2,19.1,6.8,23,27.3,7.3,284,RB,24
Nick Chubb,15.3,32.3,17.3,20.7,25.4,8,18.7,25.4,0,15.1,9.7,20.2,8,8.4,9.9,11.2,12.6,258.2,RB,17
Tony Pollard,4.2,19.8,10.5,1.8,14.6,7.2,12.9,33.7,0,21.8,36.9,8.1,24.6,22.2,14.6,14,0,246.9,RB,86
Aaron Jones,10.6,32,5.7,14.5,10,7.4,28.6,19.7,6.5,23.6,14,18.9,10,0,20.6,5.4,13.3,240.8,RB,19
Rhamondre Stevenson,4.7,6.1,20.1,12.9,19.5,25.1,23.8,21.3,16,0,14.2,20.2,13.8,3,24.8,3.3,7.1,235.9,RB,95
Dalvin Cook,13.8,7.6,13.6,10.6,26.1,15.3,0,25.1,13.6,23.6,7.2,9.6,16.3,8.6,27,10.7,6.4,235.1,RB,8
Leonard Fournette,15.7,9.4,12,18.4,35.9,22.1,4.6,14.8,11,10.8,0,0,14.1,10.6,11.4,25.2,8.7,224.7,RB,22
Joe Mixon,21.5,11.3,6.8,17.4,11.8,16.8,18.1,12.9,55.1,0,9.2,0,0,12.6,10.4,17.8,0,221.7,RB,10
Miles Sanders,18.5,11.6,5.4,29.6,8.4,14.2,0,13.8,15.3,5.4,5.8,31,11.8,28.5,1.9,6.1,6.1,213.4,RB,74
Najee Harris,10.6,13.9,13.1,7.4,6.6,12.9,11,11.96,0,9.9,27.6,10.9,10.2,13,14.6,15.5,20.3,209.46,RB,7
Jamaal Williams,16,7,24.7,23.9,5.6,0,7.3,22.6,10.1,11.9,24.4,10.6,9.5,3.7,3.3,3.4,22.7,206.7,RB,154
James Conner,16.5,7.1,8.7,10.7,7.3,0,0,0,11.4,23.6,13.4,21,0,23.4,18.1,25,14,200.2,RB,31
Alvin Kamara,7.6,0,7.3,0,23.4,18.4,17.5,42.8,9.2,7.5,12.9,7,5.7,0,12.4,19,9,199.7,RB,20
Travis Etienne,8.5,8.3,10.5,3.2,14.4,10.8,18.9,25.2,26.6,10.3,0,0.3,7.6,3.2,12.7,14.2,23,197.7,RB,40
Kenneth Walker,0,3.5,6.3,3.4,14.8,19,28.7,12.2,27.9,13.2,0,16.9,3.6,0,11.9,12.5,15.2,189.1,RB,89
Jerick McKinnon,7.9,9.6,2,1,9.2,6,6.8,0,10.4,11.8,1.4,5.6,14,32.4,34.2,12.8,22.6,187.7,RB,308
Ezekiel Elliott,5.9,5.9,14.5,10.1,7.8,15.6,17.7,0,0,0,17.7,16.5,18.1,17.1,15.1,13.1,9.7,184.8,RB,35
Devin Singletary,8.2,4.1,24.1,11.6,5.6,14.7,0,9.3,8.8,15.7,17.7,9,11.1,5.3,10,20.5,0,175.7,RB,76
David Montgomery,8,15.6,1.1,0,18.2,9,12.2,8.5,5.4,5.4,21.1,14.3,16.7,0,24.1,10.4,5.6,175.6,RB,33
D'Andre Swift,26.5,16.7,7.6,0,0,0,0,14.3,8,8.2,12.2,10.3,21.1,6.9,12.5,3.5,27.7,175.5,RB,14
Dameon Pierce,4.9,8.7,18.1,25.9,20.3,0,15.7,14.1,13.9,12.2,3.7,4.6,12.5,11.8,0,0,0,166.4,RB,139
Antonio Gibson,20,12.1,11,9.3,6.9,8.3,16.7,20.7,6.7,14.8,13.3,8.4,7.9,0,4.7,5.1,0,165.9,RB,77
A.J. Dillon,20.1,7.7,5.8,9.4,3.4,9.2,1.5,7.3,6.4,6.5,3.3,17.8,20.9,0,22.1,12.8,10.1,164.3,RB,54
Raheem Mostert,4.2,10.9,1.1,10.1,19.2,5.8,20.9,7.7,8.6,18.7,0,0,3,5.4,16.6,4.9,23.1,160.2,RB,162
Jeffery Wilson,5,12.3,11.6,13.4,20.2,0.5,5.4,5.5,16.2,22.3,0,12.2,0.3,2.6,0,11,10.6,149.1,RB,225
Jonathan Taylor,27.5,7.3,12.1,3.3,0,0,15.5,5.6,0,24.3,16.4,18.8,13.3,0,2.3,0,0,146.4,RB,1
Tyler Allgeier,0,3,4,11.4,4.5,5.1,11,17.5,13.3,3.3,7.4,5.4,5.2,0,22.6,15.7,16.5,145.9,RB,155
Cordarrelle Patterson,22.6,4.1,22.3,9.8,0,0,0,0,18.3,3,11.9,10.1,6,0,12.2,4.1,20.4,144.8,RB,69
Rachaad White,4.1,0.1,0,16.6,7.2,5.3,4.2,7.3,6.4,10.5,0,19.9,16.9,10.7,5.3,15.3,9.8,139.6,RB,128
Samaje Perine,6.7,2,14.1,0,9.6,3.6,2.8,4.7,6.4,0,30.2,19.3,21.5,9.4,3.4,5.2,0,138.9,RB,258
Latavius Murray,0,0,0,13.5,0,7.4,10.3,12.9,0,7.7,17.2,10.8,10.1,6.1,21.2,7,11.2,135.4,RB,363
Cam Akers,0,8.2,10.1,1.3,3.3,0,0,0,0.3,2.2,6.1,3.7,19,9.3,13,34.7,14.3,125.5,RB,27
D'Onta Foreman,0.5,0.9,0,0.2,0.2,1.9,16.5,31.8,4.1,19,2.4,11.3,0,8.5,0.9,22.5,3.5,124.2,RB,173
Michael Carter,17,10,5.6,4.9,17.3,5.7,9.4,10.1,15.6,0,2.7,5.6,0,3,4.1,10,2.5,123.5,RB,100
Isiah Pacheco,12.2,0.6,0.9,6.3,0,3.8,4.3,0,1.9,6.2,10.7,15.6,16.2,12.3,8.7,10,12.9,122.6,RB,174
Kareem Hunt,23,9.4,9.1,8.8,14.7,1.2,7.8,11.2,0,2.9,7.4,3.1,9.4,3.2,3.7,5.2,0.9,121,RB,84
Breece Hall,10.1,13,15.2,15.8,27.7,20.1,13.2,0,0,0,0,0,0,0,0,0,0,115.1,RB,37
Brian Robinson,0,0,0,0,2.2,12,10.6,2,5.8,14.6,5.7,20.5,13.1,0,11.7,5.8,8.7,112.7,RB,94
Khalil Herbert,11.3,5.1,30.9,11.1,1.1,7.4,15.7,15.9,2.3,5.7,0,0,0,0,0,2.3,3.1,111.9,RB,142
James Cook,-1.8,5.3,8,0,9.1,0.8,0,8.6,5.3,2.2,8.6,3.8,16.5,2.5,11.9,17.8,0,98.6,RB,119
Clyde Edwards-Helaire,22.4,15.8,14.9,22.4,6.5,3.3,9.2,0,2.9,0,0.9,0,0,0,0,0,0,98.3,RB,62
Eno Benjamin,9.1,8.1,4.3,5.5,14.3,9.5,23.3,8.5,3.7,0,0,0,0,0.1,0,0,2.9,89.3,RB,329
James Robinson,19.9,15.8,20.6,2.9,5.9,6.5,0,1.7,13.3,0,1,0,1,0,0,0,0,88.6,RB,124
Kenyan Drake,5.6,0.8,0,0,3.7,19.7,0.5,16.7,24.9,0,7.3,0.2,6.6,2.2,0,0,0,88.2,RB,205
Melvin Gordon,7.2,6.3,16.5,-1.2,13.3,0.8,7,14.2,0,11,12,0,0,0,0,0,0,87.1,RB,101
Jaylen Warren,0.7,2.5,4.3,3.2,10.3,0.2,4.4,10.5,0,10.7,1.9,0,3.9,4.7,11.9,4,12.8,86,RB,413
Damien Harris,7.8,16.7,12.6,15.4,2.2,0,2,7.2,0,0,11.3,1.6,0,0,0,0,7.9,84.7,RB,57
Chuba Hubbard,0.3,0,2.5,0,0,1.7,15.3,0,0,1.4,4.5,6.5,0,18.9,9.7,12.5,9.5,82.8,RB,291
Kenneth Gainwell,11.2,2.8,0.6,8.7,2,2.5,0,2.1,12.8,2.2,0,11.6,8.3,1,3.4,9.8,3.7,82.7,RB,136
J.K. Dobbins,0,0,6,22.3,4.4,1.5,0,0,0,0,0,0,0,18,13.8,5.9,9.3,81.2,RB,80
Dontrell Hilliard,21.9,0,5.4,5.8,12.3,0,0.4,10.5,1.8,1.8,8.8,4.9,3.6,0,0,0,0,77.2,RB,268
Darrell Henderson,12.3,10.7,1.7,6.9,7,13.2,0,5,5.6,10.2,0.9,0,0,0,0,0,0,73.5,RB,115
Rex Burkhead,12,2.9,7,14.9,4.8,0,6.9,1.2,2.5,5,0,1.5,0,1.2,3.7,2.7,4,70.3,RB,359
Chase Edmonds,10.5,5.1,15.7,10,0.1,5.1,1.7,1.4,0,1.9,0.6,0,0,0,0,7.3,10.3,69.7,RB,88
Alexander Mattison,3.6,4.4,11.4,8.8,7,0.3,0,10,1.1,2.9,1.8,1.1,9.8,-0.1,0.1,1.7,5.5,69.4,RB,113
Nyheim Hines,11.4,7.7,8,2.3,1.8,0,9.3,12.9,0,1.9,-0.8,0.3,2.8,1.7,8,2.1,0,69.4,RB,129
Joshua Kelley,5.5,3.5,2.3,1.5,16.2,0,0,0,0,0,0,4,3,4.5,10.1,5.2,5.6,61.4,RB,399
Gus Edwards,0,0,0,0,0,0,18.6,6.5,0,0,0,9.2,1.2,6.6,5.5,9.9,0.2,57.7,RB,160
J.D. McKissic,7.8,13.3,10,8.6,8.7,2,0.4,5,0,0,0,0,0,0,0,0,0,55.8,RB,131
Rashaad Penny,8.7,1.5,7.9,28.7,5.4,0,0,0,0,0,0,0,0,0,0,0,0,52.2,RB,85
Ameer Abdullah,0,3.3,0,0,0,0,2.7,6.8,1.8,7.3,3.5,14.5,0.4,3.7,3.4,4.7,0,52.1,RB,243
Mark Ingram,1.3,6.1,7.8,7.3,3.6,6.7,5.2,1.2,0,0,0,1,9.9,0,0,0,0,50.1,RB,193
Justin Jefferson,39.4,10.8,4.4,31,30.32,16.7,0,15.8,25.5,35.3,6.3,29.34,18.6,33.3,30.3,31.3,2.5,360.86,WR,5
Tyreek Hill,18,42,5.3,25.9,13,29.7,14.2,31.5,27.3,15.4,0,15,29.6,18.1,21.9,14.3,15.7,336.9,WR,23
Davante Adams,30.1,9.2,14.2,19.5,27.4,0,17.5,1.2,36.6,27.6,33.1,14.4,37.7,10.1,6.8,3.5,34.3,323.2,WR,11
Stefon Diggs,26.2,44.8,14.4,10.2,24.2,30.8,0,22.8,14.3,24.8,14.8,21.7,22.2,6.7,10.7,4.6,0,293.2,WR,12
A.J. Brown,25.5,11.9,19.5,14.5,6.2,17.7,0,39.6,15.9,1.7,9,12.6,31.9,17,27.1,16.3,19.7,286.1,WR,29
CeeDee Lamb,4.9,15.1,22.7,21.7,10.3,12.7,10.6,18.8,0,38,9.5,17.7,20.4,8.3,19.7,34,21,285.4,WR,18
